Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2020-02-25,9392.8696287195,9640.4685621125,9679.5950897831,9251.1158336841
BTC,2020-02-26,8787.9783631624,9392.868579469,9393.8641369143,8626.9357463294
BTC,2020-02-27,8784.9953524383,8790.3368531973,8977.5855649234,8530.4963793833
BTC,2020-02-28,8778.4705108021,8818.1022690105,8904.1262180007,8459.6952608372
BTC,2020-02-29,8639.5914172977,8778.4673162913,8806.8449653776,8591.2925399615
BTC,2020-03-01,8548.9483224221,8639.5920809829,8747.7257181204,8412.7233290889
BTC,2020-03-02,8923.0443982559,8549.0459988488,8977.3332033247,8491.456294967
BTC,2020-03-03,8791.1120581303,8916.7398900879,8919.2637483471,8652.8090244274
BTC,2020-03-04,8756.9610624113,8791.112072677,8852.2566596498,8682.6845936939
BTC,2020-03-05,9078.5787771302,8756.9621160099,9172.1382578197,8745.9929560968
BTC,2020-03-06,9126.6368222216,9073.1601342024,9191.1503397165,9004.9447121357
BTC,2020-03-07,8925.2134877789,9126.8883175898,9204.6723591899,8858.6475568679
BTC,2020-03-08,8166.3138940249,8925.217517945,8925.3830385259,8163.6824715264
BTC,2020-03-09,7875.7508752183,8166.313267607,8256.1255068954,7625.18961911
BTC,2020-03-10,7959.2282742121,7939.2528230561,8159.1579194117,7745.1520785995
BTC,2020-03-11,7955.3062841815,7959.2336539695,7984.60248779,7591.897234712
BTC,2020-03-12,5800.2089048343,7954.4400079769,7977.8436803201,5568.0166896362
BTC,2020-03-13,5672.6812010316,5803.7943141679,6013.2528924193,3867.0913120448
BTC,2020-03-14,5304.149952186,5672.6511129606,5809.6402964717,5214.7743017463
BTC,2020-03-15,5355.1873735338,5304.1490746261,6115.8344783085,5076.8620925173
BTC,2020-03-16,4944.7023359837,5359.5819953221,5439.4667029544,4452.2605452255
BTC,2020-03-17,5465.582594124,4944.6925087191,5558.1292949021,4921.2031446622
BTC,2020-03-18,5363.8228532507,5465.555260981,5466.942335409,5043.0750917129
BTC,2020-03-19,6301.0634040737,5363.8162302599,6428.7804432327,5274.927111767
BTC,2020-03-20,6185.2798385235,6301.1202913009,6942.9352678443,5680.1032816327
BTC,2020-03-21,6187.0537502172,6176.205753566,6470.3547667067,5883.7541571284
BTC,2020-03-22,5884.3401334651,6187.042145894,6431.8731619281,5802.5534018084
BTC,2020-03-23,6455.4546882515,5829.352510533,6620.8582532297,5694.1982989147
BTC,2020-03-24,6784.3180114254,6455.4506497597,6863.6021964479,6406.0374386706
BTC,2020-03-25,6706.9850891337,6784.3252039507,6981.7203862999,6488.1118850734
BTC,2020-03-26,6721.4953923809,6697.9483199297,6796.0537009424,6537.856462365
BTC,2020-03-27,6682.7800491951,6718.0848719058,6865.5414242377,6597.3075835098
BTC,2020-03-28,6229.4883428258,6682.780622083,6688.0432774437,6044.4751102185
BTC,2020-03-29,5922.4898350924,6229.4933199122,6284.2724607738,5879.7775279033
BTC,2020-03-30,6483.7394455297,5879.8168356462,6615.7864800561,5858.8579348981
BTC,2020-03-31,6446.4213468415,6483.6170416022,6533.0649088302,6344.6335361166
BTC,2020-04-01,6537.3364615033,6446.4426671473,6605.4444557466,6159.5824510417
BTC,2020-04-02,6850.5587116906,6537.6869903915,7212.7251455572,6519.9348986302
BTC,2020-04-03,6776.370093566,6796.9251957499,7049.7063662037,6612.6779556242
BTC,2020-04-04,6855.9332644576,6772.0073009494,7003.1261340455,6664.6108047468
BTC,2020-04-05,6805.3622868989,6873.720047521,6908.855128041,6684.7157318651
BTC,2020-04-06,7278.2439697658,6809.0045677517,7319.9780929005,6775.1110139068
BTC,2020-04-07,7175.6674765579,7277.7042816172,7464.7322447448,7081.6392093517
BTC,2020-04-08,7367.2933984502,7175.6694181696,7424.7437205815,7155.2110526204
BTC,2020-04-09,7321.8166138877,7366.9009606414,7399.4691329835,7125.7755189952
BTC,2020-04-10,6866.3981890103,7321.8157461222,7325.3247779259,6752.5936636938
BTC,2020-04-11,6873.848495157,6872.1372659497,6949.7888750096,6777.8896942429
BTC,2020-04-12,7043.4388635241,6873.8485549066,7201.9903551464,6797.7790628043
BTC,2020-04-13,6889.8637723481,7043.4388929919,7050.7710252237,6600.7714938355
BTC,2020-04-14,6887.554907833,6889.8639781647,6991.3263967632,6772.3221319856
BTC,2020-04-15,6718.7999502834,6887.5488979254,6942.9070804085,6701.0211163339
BTC,2020-04-16,7166.5828171387,6628.9752825049,7178.7658941716,6486.5313078652
BTC,2020-04-17,7065.0823890422,7162.5272306278,7200.3172088039,6996.1491089494
BTC,2020-04-18,7277.1405855631,7065.0660857569,7301.814370888,7029.0159611769
BTC,2020-04-19,7185.87030343,7277.1406537464,7292.862985328,7066.9471850573
BTC,2020-04-20,6856.1464345446,7185.8708309939,7221.9159066607,6764.4306986679
BTC,2020-04-21,6904.4757726979,6856.1464256671,6954.0051366353,6782.2393714434
BTC,2020-04-22,7118.3887479246,6904.4762213559,7165.5200044019,6831.9479064183
BTC,2020-04-23,7562.0328317455,7118.3889150784,7725.6716992521,7037.5548449005
BTC,2020-04-24,7497.8617638281,7556.0192600486,7608.3111430331,7407.2669223098
BTC,2020-04-25,7542.3034007032,7497.8598814457,7702.0189800703,7445.6858982455
BTC,2020-04-26,7624.8537859232,7542.3031009324,7707.5942705341,7503.7701429692
BTC,2020-04-27,7776.5075425684,7624.8543379743,7798.2766558804,7621.4870822181
BTC,2020-04-28,7761.7587840758,7788.5742294836,7793.6360176131,7677.1787739545
BTC,2020-04-29,8773.1064879583,7761.7586189955,8973.0792774804,7725.5426535376
BTC,2020-04-30,8767.6726233679,8768.0471796589,9469.0784232378,8415.4747401737
BTC,2020-05-01,8853.7744840141,8767.6721431836,9073.817530476,8593.380362901
BTC,2020-05-02,8963.057557797,8850.7887561659,9037.3419273063,8780.0379253879
BTC,2020-05-03,8904.713816537,9002.3969164711,9223.3855340319,8747.4334188812
BTC,2020-05-04,8887.5058925872,8904.5593937405,8968.5322344028,8539.5111073234
BTC,2020-05-05,8978.2835871237,8887.5074730474,9112.8661506733,8784.0995901784
BTC,2020-05-06,9371.6842727917,9032.1832265712,9392.6354471211,8927.7770678731
BTC,2020-05-07,9900.678866615,9371.6799704477,9958.7339977809,9065.9210447116
BTC,2020-05-08,9917.2484143422,9903.8307542943,10062.7159146252,9732.8065476399
BTC,2020-05-09,9617.5181949278,9917.2531744633,9957.1109283117,9546.0409925606
BTC,2020-05-10,8786.655181651,9616.3770636512,9650.0186029482,8166.4921878884
BTC,2020-05-11,8608.125245038,8733.6379434978,9176.1863902424,8206.3315046888
BTC,2020-05-12,8815.2312449023,8608.1199369808,8980.6245047804,8509.5642150125
BTC,2020-05-13,9330.986484701,8823.7808313463,9416.5901827296,8802.9165603225
BTC,2020-05-14,9757.2965855933,9330.9852680521,9940.9560817515,9273.4165870495
BTC,2020-05-15,9362.6355569661,9795.2825564091,9848.1853608679,9155.515350643
BTC,2020-05-16,9418.9185505051,9362.6366461472,9583.062439468,9219.3622046505
BTC,2020-05-17,9684.7019593528,9418.913715302,9879.7120397774,9327.7638326824
BTC,2020-05-18,9723.6801504531,9673.8366316087,9933.9762248941,9523.8489924753
BTC,2020-05-19,9719.4808544776,9723.3169934073,9899.77599404,9473.7422660036
BTC,2020-05-20,9540.8865665842,9719.2544893493,9834.55781877,9332.915195977
BTC,2020-05-21,9141.150637421,9540.2089222634,9571.081814946,8806.7428387451
BTC,2020-05-22,9192.8451358053,9139.8904009519,9265.2515997115,8934.3807281482
BTC,2020-05-23,9220.0758874664,9192.8452548062,9311.8493382119,9093.8343146841
BTC,2020-05-24,9048.7151191611,9219.7460361167,9301.1793115488,8856.4708625726
BTC,2020-05-25,8905.7816045384,9048.6923718826,9051.6929603465,8645.2125479474
BTC,2020-05-26,8835.7272240409,8905.7469216755,9010.8974427745,8707.1240715533
BTC,2020-05-27,9112.9791755927,8835.7272237508,9224.7449647518,8820.5491927792
BTC,2020-05-28,9507.5246646633,9113.1778359026,9523.4574741366,9008.0584497886
BTC,2020-05-29,9425.2818691896,9507.5637917984,9621.6132306645,9335.814885905
BTC,2020-05-30,9688.324390372,9434.033791627,9732.9439791453,9334.9128323857
BTC,2020-05-31,9427.6700841394,9688.5399317488,9698.1408541243,9394.2753873132
BTC,2020-06-01,10268.5819847333,9427.2325353578,10357.7891656244,9417.354211719
BTC,2020-06-02,9516.1354430882,10268.231876664,10292.7030968576,9298.9209500344
BTC,2020-06-03,9667.0607542595,9516.3798280647,9680.2064436579,9406.9711871222
BTC,2020-06-04,9811.367094602,9667.0854019559,9875.6621271187,9472.2510484788
BTC,2020-06-05,9659.6612981892,9811.8293775976,9860.2314469319,9619.6174589658
BTC,2020-06-06,9677.0509945125,9659.0531176385,9736.2711280708,9542.7733979468
BTC,2020-06-07,9737.458558786,9677.050683736,9804.4464866884,9392.8429259367
BTC,2020-06-08,9791.9278997681,9737.4574466497,9803.5735159591,9652.3101139661
BTC,2020-06-09,9786.1420204782,9790.073884068,9870.5193874417,9610.0243540348
BTC,2020-06-10,9874.967047524,9787.914130709,9979.7155257569,9711.8595804282
BTC,2020-06-11,9260.8326409877,9875.0142135212,9962.1803308167,9108.4730458288
BTC,2020-06-12,9464.2280968215,9261.4814437625,9558.7706017956,9238.3891810973
BTC,2020-06-13,9458.6597544046,9464.0860788641,9492.8998835231,9359.8470466204
BTC,2020-06-14,9351.9537280097,9458.6597530336,9481.6974527721,9250.0324075518
BTC,2020-06-15,9441.7689955465,9351.6054773864,9498.609998889,8910.1982654435
BTC,2020-06-16,9510.6606372934,9442.0169879651,9595.2229348834,9380.7460796455
BTC,2020-06-17,9457.6270744096,9510.6412664837,9557.4684199857,9240.6460560184
BTC,2020-06-18,9398.6420936216,9457.4648370114,9480.3744873948,9276.4270939835
BTC,2020-06-19,9279.7607651662,9398.6856028871,9427.1776609648,9236.6572719404
BTC,2020-06-20,9353.0781961865,9278.4691460412,9391.0250942378,9178.3822794606
BTC,2020-06-21,9289.104491444,9353.0781871345,9412.6485046188,9278.9232260848
BTC,2020-06-22,9680.9471278957,9288.603159701,9775.102839222,9272.796157314
BTC,2020-06-23,9609.6802455253,9680.9471289833,9720.7652405271,9576.910847921
BTC,2020-06-24,9311.1363183171,9609.680245524,9678.9860797608,9206.9588946905
BTC,2020-06-25,9252.6333717662,9310.9896455256,9333.3460568584,9002.3744683154
BTC,2020-06-26,9171.7320857653,9252.6847128695,9292.2453669875,9046.2313649675
BTC,2020-06-27,9022.1537680028,9171.5540124669,9192.7682653593,8843.3177021008
BTC,2020-06-28,9101.8500573564,9022.0121258159,9190.1174784507,8949.7559742094
BTC,2020-06-29,9188.0613754617,9101.8777027488,9233.5293611412,9032.4354826268
BTC,2020-06-30,9148.4448585576,9188.0374007629,9201.6487941318,9067.1908399612
BTC,2020-07-01,9236.3167704303,9141.3482599688,9300.9989833628,9096.7786459199
BTC,2020-07-02,9097.7973663897,9240.1696284865,9267.1230218636,8957.6328010018
BTC,2020-07-03,9094.3245610188,9097.6836278241,9132.985825035,9065.858011514
BTC,2020-07-04,9124.653534398,9067.9374872454,9190.8189866829,9051.8707264143
BTC,2020-07-05,9055.4644825162,9141.0750702453,9149.7655840554,8919.7629805208
BTC,2020-07-06,9278.8056370407,9078.6141268178,9356.3274209406,9063.7276271287
BTC,2020-07-07,9244.4158145353,9344.9876259665,9374.0835326574,9216.5180479245
BTC,2020-07-08,9471.7599734203,9262.8052511081,9472.0800667072,9239.5432967104
BTC,2020-07-09,9236.1432537083,9444.7281118768,9449.9112433728,9173.165153858
BTC,2020-07-10,9243.1752591504,9239.4733507852,9260.349784693,9133.9623381373
BTC,2020-07-11,9229.85975494,9289.5800289992,9304.9625505212,9190.0326227444
BTC,2020-07-12,9286.737042085,9243.7662534181,9349.001062043,9170.7353602852
BTC,2020-07-13,9238.9937548587,9310.3950688791,9339.8069862093,9206.2919781178
BTC,2020-07-14,9260.4709801845,9241.7637243217,9279.0932219554,9125.2145235453
BTC,2020-07-15,9211.0264328947,9261.5114252243,9275.4524402921,9167.6497205035
BTC,2020-07-16,9133.7778303426,9192.6236656576,9219.4264918104,9048.0849218389
BTC,2020-07-17,9160.4105914881,9132.4547469077,9186.9617904779,9085.9776186679
BTC,2020-07-18,9176.6863901004,9159.3692809037,9212.5209440085,9130.0223005177
BTC,2020-07-19,9190.2715341962,9182.9144185743,9197.7265235545,9117.0586990983
BTC,2020-07-20,9172.5883325719,9213.3585655462,9223.0765201485,9152.2806486365
BTC,2020-07-21,9395.0644458829,9166.2982305916,9445.5793193109,9159.9725786743
BTC,2020-07-22,9530.7908853474,9399.7302384002,9551.9964118569,9313.812943823
BTC,2020-07-23,9617.3778613786,9534.1162687428,9681.9094523032,9452.7444758205
BTC,2020-07-24,9568.9747259614,9617.3894591667,9646.9571178644,9479.577350917
BTC,2020-07-25,9708.9491400965,9557.0653141715,9746.5560964971,9546.0325278773
BTC,2020-07-26,9938.9512228609,9714.6851230125,10135.8821643264,9670.416834467
BTC,2020-07-27,11187.7797269617,9940.1115733741,11394.8487535237,9930.8399598193
BTC,2020-07-28,10939.6701415471,11040.7904712931,11254.5513449472,10580.1285959048
BTC,2020-07-29,11284.4589868467,10930.4527755009,11318.0870993111,10852.8809682788
BTC,2020-07-30,11118.918412434,11118.8885842583,11180.4306350356,10847.2008450732
BTC,2020-07-31,11373.3172566418,11112.4211580953,11467.9505883319,10980.8239146191
BTC,2020-08-01,11766.7482970949,11352.7150357317,11880.7736350462,11241.9767726787
BTC,2020-08-02,11139.0983803526,11820.5129134748,12117.677084322,10658.9460782408
BTC,2020-08-03,11261.8063317402,11071.2671075218,11480.2833822028,10956.5629107227
BTC,2020-08-04,11228.0263240165,11237.224514327,11400.064190075,11045.9684181395
BTC,2020-08-05,11653.4075855619,11196.2874567594,11791.103226516,11107.1351991662
BTC,2020-08-06,11796.8173649898,11756.8948577037,11917.765041122,11581.5751327779
BTC,2020-08-07,11639.9354101265,11780.0440057381,11917.8591535984,11347.4127941763
BTC,2020-08-08,11744.9120755023,11610.9086952199,11814.9566576843,11543.347697236
BTC,2020-08-09,11673.1232375366,11770.4509749131,11802.6629274829,11536.7528578784
BTC,2020-08-10,11832.2273081293,11693.179446991,12070.4418199443,11546.9577573617
BTC,2020-08-11,11340.5823406437,11903.3334960484,11941.651803396,11137.8136766082
BTC,2020-08-12,11549.5463143706,11399.0684836049,11626.2378361915,11166.5447761747
BTC,2020-08-13,11752.1686562261,11571.1026297982,11795.4357474646,11287.6467938063
BTC,2020-08-14,11783.2834112599,11789.9595335822,11867.2829097954,11663.4114600206
BTC,2020-08-15,11895.6269498904,11782.7855891469,11987.6515538818,11714.5890244435
BTC,2020-08-16,11896.9471701861,11862.3874192118,11938.876104565,11705.4926105141
BTC,2020-08-17,12399.1118846619,11916.5802233749,12476.6970382192,11778.3037122251
BTC,2020-08-18,12071.738909085,12299.816206832,12391.8407139912,11840.3923682921
BTC,2020-08-19,11749.8295087584,11959.0293875851,12029.757987286,11589.5761997377
BTC,2020-08-20,11833.8973486966,11766.1831250181,11899.9634080996,11690.1550814447
BTC,2020-08-21,11583.1389426341,11866.284009762,11890.0316581913,11525.2612265043
BTC,2020-08-22,11674.6243539052,11539.7172880236,11694.4704937309,11393.2103252401
BTC,2020-08-23,11666.4101222366,11677.0582433558,11726.2345831963,11539.0898147759
BTC,2020-08-24,11744.0126966495,11660.3968241197,11835.3592754944,11601.7406616552
BTC,2020-08-25,11378.7260298071,11759.3613990679,11771.3353010036,11133.1687564421
BTC,2020-08-26,11458.8225964867,11334.0357287587,11546.2023922422,11265.2281386883
BTC,2020-08-27,11302.1209644988,11467.2906543538,11594.646260832,11157.0857448676
BTC,2020-08-28,11482.2256865058,11339.7480170355,11553.5391758695,11294.1859095592
BTC,2020-08-29,11515.0444306934,11540.7286407004,11586.306568912,11435.4007555714
BTC,2020-08-30,11657.0039342288,11483.1287455262,11694.6708006309,11476.0720204022
BTC,2020-08-31,11678.3732554192,11712.9726181329,11799.5294386036,11579.8832858807
BTC,2020-09-01,11964.2086724627,11661.4273392082,12070.2274056138,11544.4200320475
BTC,2020-09-02,11427.7026049712,11923.1996398265,11954.16267982,11217.4538310774
BTC,2020-09-03,10712.9206460713,11409.7263346148,11470.8070207892,10505.146810169
BTC,2020-09-04,10563.896938616,10177.7216415213,10644.2411739565,10118.7186111835
BTC,2020-09-05,10042.8548543675,10470.0266856065,10574.3073061536,9894.2253997185
BTC,2020-09-06,10207.6050029603,10174.8634317217,10355.6524945565,10014.2776608264
BTC,2020-09-07,10381.7761069335,10265.742989012,10383.1192364612,9891.7342430833
BTC,2020-09-08,10043.1964412914,10381.6768155354,10444.1711251332,9868.9379844287
BTC,2020-09-09,10268.460915747,10136.5608354675,10352.4151885305,9989.5105561014
BTC,2020-09-10,10341.0159838502,10230.6355279248,10483.5612078481,10224.0373930738
BTC,2020-09-11,10380.5395972283,10347.6612052229,10403.7556825787,10214.6697297992
BTC,2020-09-12,10436.3654083593,10400.8554489956,10484.8758976063,10286.4274703269
BTC,2020-09-13,10313.06857949,10450.9495202941,10585.8806609663,10226.423921543
BTC,2020-09-14,10680.2975611652,10337.7125787577,10759.1361004772,10281.5801429775
BTC,2020-09-15,10829.5053071986,10683.0029092306,10944.6513147568,10636.1882565115
BTC,2020-09-16,11033.3835264817,10792.310232955,11103.7964773236,10683.7902626432
BTC,2020-09-17,10937.1112591004,10966.3864837182,11061.2846341274,10762.4173846999
BTC,2020-09-18,10933.9311623986,10947.2313749917,11035.0532006914,10830.8524712229
BTC,2020-09-19,11048.8792781597,10940.1344713816,11180.3953060606,10904.1996180411
BTC,2020-09-20,10852.9101389415,11085.4290035282,11085.4290035282,10773.3321939825
BTC,2020-09-21,10526.2028872017,10925.5107857605,10991.6945403675,10322.5948179629
BTC,2020-09-22,10531.1645626345,10423.2715453539,10579.3013124516,10371.916571773
BTC,2020-09-23,10260.0330124118,10536.3172190874,10541.1688820786,10209.0631341198
BTC,2020-09-24,10672.956808056,10241.1658885228,10712.4992539564,10200.8827845536
BTC,2020-09-25,10729.0696074184,10736.6523400888,10759.7110963479,10569.4345752446
BTC,2020-09-26,10741.4764675217,10692.4642665144,10777.5759148102,10657.5231488127
BTC,2020-09-27,10752.3454497531,10734.5012351537,10802.3740721686,10599.5884111564
BTC,2020-09-28,10863.0657239052,10776.304357975,10948.0626580689,10776.304357975
BTC,2020-09-29,10764.2843707196,10691.9785592244,10793.6034928953,10640.69414506
BTC,2020-09-30,10741.5795494951,10843.3882629583,10849.7307262805,10672.7950329819
BTC,2020-10-01,10626.6009564965,10778.8984931299,10931.6335029085,10470.6937235837
BTC,2020-10-02,10567.330195233,10624.9107244657,10670.7105642163,10386.9113843656
BTC,2020-10-03,10555.0286787811,10578.9195698628,10609.2374802825,10512.3393437875
BTC,2020-10-04,10660.6111826447,10559.3146596647,10702.511383231,10535.822715254
BTC,2020-10-05,10756.4045849204,10672.1654447003,10770.4630113184,10630.9564940911
BTC,2020-10-06,10589.6263935253,10793.1520609928,10798.9813154544,10543.4891054927
BTC,2020-10-07,10645.7547867781,10600.6607792141,10680.6412336426,10554.8416671625
BTC,2020-10-08,10897.5954315054,10669.0700425233,10949.3433682848,10544.3757953325
BTC,2020-10-09,11052.3950836712,10929.5926190082,11106.3344556469,10843.4742988665
BTC,2020-10-10,11360.8527168674,11059.8135659572,11484.1644844347,11058.740486372
BTC,2020-10-11,11334.0267420322,11293.2070111851,11436.2114811727,11282.5035579667
BTC,2020-10-12,11666.2117003214,11372.1099580183,11723.6438586845,11210.8613391446
BTC,2020-10-13,11443.7327918222,11534.6095670768,11564.6400594222,11333.5349188957
BTC,2020-10-14,11395.54736637,11431.094043731,11540.0649248376,11302.777035928
BTC,2020-10-15,11504.5490067109,11433.4575377533,11610.2503973752,11291.8980921613
BTC,2020-10-16,11355.1604394509,11511.9021994873,11544.4860094834,11227.0710565791
BTC,2020-10-17,11358.7063796297,11329.9947283176,11410.1636831398,11282.9478878572
BTC,2020-10-18,11471.002547787,11368.4123458737,11486.9854110308,11356.1741600839
BTC,2020-10-19,11776.5929973295,11514.6450997633,11825.6477430236,11419.0822862089
BTC,2020-10-20,11936.3629133377,11754.182025232,11993.9258790889,11693.7839412718
BTC,2020-10-21,13102.9344615485,11920.4113894318,13109.1659719966,11900.2138386315
BTC,2020-10-22,13140.669284056,12801.6880683713,13192.2528680567,12697.4570465989
BTC,2020-10-23,12933.8235654933,12980.8801029984,13029.9638916088,12731.0577925978
BTC,2020-10-24,13081.6725594906,12929.849401313,13168.3388281505,12877.9380142046
BTC,2020-10-25,13008.4532577537,13115.8335202351,13342.7502810151,12906.7005924555
BTC,2020-10-26,13033.5242700816,13038.9155413432,13243.9958996727,12811.5460262308
BTC,2020-10-27,13721.2822248459,13069.2361375308,13756.3317007068,13062.408791572
BTC,2020-10-28,13282.2603479223,13647.5729161687,13847.5335152864,12894.8993187494
BTC,2020-10-29,13467.7317828145,13280.3655897563,13640.1389353,12994.9843724157
BTC,2020-10-30,13573.7105031536,13461.3835155182,13667.7472267308,13134.4800757725
BTC,2020-10-31,13891.2168331626,13574.9272175126,14093.0529474286,13438.9353824936
BTC,2020-11-01,13730.1973109361,13810.6419810949,13907.3129511633,13641.5403361361
BTC,2020-11-02,13633.6982168925,13768.9567647471,13837.8511820722,13270.2073365724
BTC,2020-11-03,13832.9384097683,13565.1306758904,13842.4745440347,13301.6119508358
BTC,2020-11-04,14163.9768155039,14014.7348817962,14257.5297066562,13582.4022020307
BTC,2020-11-05,15424.527676687,14156.6086373512,15494.5781747216,14104.9020894105
BTC,2020-11-06,15540.5965908122,15607.5054966298,15971.6414160533,15202.7645070968
BTC,2020-11-07,14783.9816785334,15603.2585399726,15764.1046995842,14330.6818321216
BTC,2020-11-08,15500.3342547421,14820.4364683332,15657.1290415238,14711.5481916284
BTC,2020-11-09,15283.7801387338,15481.90607704,15810.7737858324,14845.7917621777
BTC,2020-11-10,15374.0443857602,15327.5883894758,15448.4127535465,15092.389798398
BTC,2020-11-11,15820.4952410758,15316.7490120132,15973.0760779871,15294.2933232501
BTC,2020-11-12,16253.3102719418,15701.8651040755,16348.4627957539,15474.7610848607
BTC,2020-11-13,16347.0449203531,16302.8428022629,16487.4881476243,15971.1427991995
BTC,2020-11-14,15991.833024404,16329.7988908906,16333.5131389819,15718.8887882143
BTC,2020-11-15,15918.0801281116,16078.9700118578,16167.3969220473,15792.7790777436
BTC,2020-11-16,16752.0029899638,15969.5160057601,16885.5801948686,15881.7038454383
BTC,2020-11-17,17593.4864149334,16718.599655511,17831.2311843388,16560.9996274263
BTC,2020-11-18,17834.6365337098,17672.6528364115,18358.9762512732,17283.4948533778
BTC,2020-11-19,17954.8580090953,17786.2125755205,18170.8302741776,17381.2362634077
BTC,2020-11-20,18612.870672181,17823.3433048082,18813.4076918441,17762.9288222253
BTC,2020-11-21,18591.8566047532,18666.5802245562,18964.6435144085,18368.2899589986
BTC,2020-11-22,18629.995537256,18683.8472010104,18732.9913156418,17806.2675986902
BTC,2020-11-23,18469.2004694785,18405.5557000806,18752.160039632,17990.1108860579
BTC,2020-11-24,19045.7364656531,18370.2196087254,19392.9086751275,18059.2654337777
BTC,2020-11-25,18746.9348067039,19136.0829674867,19391.4636603479,18640.6421794386
BTC,2020-11-26,17187.4062763281,18719.207158875,18908.6355321966,16242.7029385894
BTC,2020-11-27,17023.9614000906,17180.7187297796,17482.2001046051,16489.3026655507
BTC,2020-11-28,17814.7802784355,17159.1094973637,17901.3826229953,16906.1761036597
BTC,2020-11-29,18114.4143492772,17742.8230386514,18356.3132272691,17545.1962165085
BTC,2020-11-30,19382.3605858664,18201.2772477534,19850.1144867831,18201.2772477534
